time,open,high,low,close,volume
2018-01-16T00:15:00Z,13397,13421,13228,13351,-818.8189010900005
2018-01-16T00:30:00Z,13351,13363,13112,13243.37585869,-224.7207567300001
2018-01-16T00:45:00Z,13229,13385,13215,13217,-114.65245841000002
2018-01-16T01:00:00Z,13217,13321,13057,13249,-224.78801061999923
2018-01-16T01:15:00Z,13250,13351,13078,13085.36314794,-172.9583425899999
2018-01-16T01:30:00Z,13088,13089.04053337,12650,12840,-902.4704157499941
2018-01-16T01:45:00Z,12837,13070,12726,13061,49.252508870000064
2018-01-16T02:00:00Z,13060,13061,12870.84899797,12950,-38.72352340999996
2018-01-16T02:15:00Z,12950,12976,12647,12871,-494.01599957000025
2018-01-16T02:30:00Z,12871,13120,12868,12969,128.76226083000077
2018-01-16T02:45:00Z,12969,13184,12951,13174,85.17048229999983
2018-01-16T03:00:00Z,13174,13175,13040,13090,-124.84583833000025
2018-01-16T03:15:00Z,13090,13118,12763,12844,-210.02531135000044
2018-01-16T03:30:00Z,12844,12994,12757,12824,79.91574262000009
2018-01-16T03:45:00Z,12824,12980,12824,12894.78556304,-30.78820491999998
2018-01-16T04:00:00Z,12894,12981,12848,12959,21.168543059999987
2018-01-16T04:15:00Z,12959,13003,12815,12924,-37.09014196999999
2018-01-16T04:30:00Z,12924,13037,12897,12986,91.34888085999978
2018-01-16T04:45:00Z,12984,13041,12950,12983.77855806,-35.55532449999994
2018-01-16T05:00:00Z,12983,12989,12906,12963,-36.451481180000094
2018-01-16T05:15:00Z,12963,12979,12842,12963,-57.19009087999998
2018-01-16T05:30:00Z,12964,13134,12938,13070,114.26073223000004
2018-01-16T05:45:00Z,13071,13114,13039,13114,-14.703024640000022
2018-01-16T06:00:00Z,13113,13155,13023.03783367,13048,-78.73915717000008
2018-01-16T06:15:00Z,13049,13080,13000,13030,-35.92207380000007
2018-01-16T06:30:00Z,13027,13102.78323727,13011,13072,-4.801388920000035
2018-01-16T06:45:00Z,13072,13185,13060,13144,-36.800736890000024
2018-01-16T07:00:00Z,13142,13212,13108,13142,-40.17558108
2018-01-16T07:15:00Z,13142,13142,13044,13070,-101.54010377000009
2018-01-16T07:30:00Z,13067,13078,12841,12842,-308.5738149800002
2018-01-16T07:45:00Z,12842,12863.12236866,12353,12423.49356721,-2658.9303155999996
2018-01-16T08:00:00Z,12401,12590,11833,12014,-798.8855806899983
2018-01-16T08:15:00Z,12012,12226,11751,11751,-1797.2802390499917
2018-01-16T08:30:00Z,11751,12052.95125065,11400,12036,-520.8683143299987
2018-01-16T08:45:00Z,12023,12164,11751,12049,-186.1334665699991
2018-01-16T09:00:00Z,12049,12131,11650,11729.96906594,-255.8614282500016
2018-01-16T09:15:00Z,11729.96906594,11959,11551,11879,39.53138152000011
2018-01-16T09:30:00Z,11879,11965,11501,11513,-290.66929472000027
2018-01-16T09:45:00Z,11514,11514,10891,11300,-1760.6956221499768
2018-01-16T10:00:00Z,11300,11730,11300,11664,676.3318761800027
2018-01-16T10:15:00Z,11663,11850,11430,11725,72.31542465999986
2018-01-16T10:30:00Z,11714,11949,11664,11721,-69.27414942000017
2018-01-16T10:45:00Z,11724,11776.44905669,11437,11643,6.854014020001021
2018-01-16T11:00:00Z,11642,11877,11642,11774,227.83779837000012
2018-01-16T11:15:00Z,11773,11970,11725.03971649,11725.03971649,-263.60122317999964
2018-01-16T11:30:00Z,11725.03971649,12000,11653,11976,240.55947349000013
2018-01-16T11:45:00Z,11977,12100,11867,12046,286.1179413500011
2018-01-16T12:00:00Z,12048,12072,11850,11968,-162.52016847000027
2018-01-16T12:15:00Z,11968,12067.81650658,11642,11757,-128.9439310899998
2018-01-16T12:30:00Z,11757,11798,11530,11652,-189.84520609000052
2018-01-16T12:45:00Z,11652,11798,11556,11779,-100.26788647999986
2018-01-16T13:00:00Z,11779,11987,11766,11950,82.29326292999988
2018-01-16T13:15:00Z,11949,11985,11845,11895,-4.498144719999947
2018-01-16T13:30:00Z,11895,11896,11550,11551,-363.9254905799988
2018-01-16T13:45:00Z,11551,11687,11325,11472,-467.7118308899994
2018-01-16T14:00:00Z,11474,11618.82910059,11393,11524,-6.331446820000008
2018-01-16T14:15:00Z,11524,11787,11509,11685,204.5573675499996
2018-01-16T14:30:00Z,11687,11919,11642,11822,255.69406906000032
2018-01-16T14:45:00Z,11820,11822,11555,11670,-165.09393215999944
2018-01-16T15:00:00Z,11674,11825,11550,11643,-235.2097762899986
2018-01-16T15:15:00Z,11644,11760,11582.87943831,11748,21.72223706999994
2018-01-16T15:30:00Z,11747,11996,11663,11979,238.68062468999972
2018-01-16T15:45:00Z,11981,12084,11886.0193814,11970,416.91574745000054
2018-01-16T16:00:00Z,11968,11999,11751,11878,-162.45671887000037
2018-01-16T16:15:00Z,11878,11930,11763,11846,-53.89105210000001
2018-01-16T16:30:00Z,11846,11846,11700,11765,-266.59888347999936
2018-01-16T16:45:00Z,11765,11769,11607,11705,-29.620719760000455
2018-01-16T17:00:00Z,11706,11787,11510,11581,-454.30489089999975
2018-01-16T17:15:00Z,11576,11577,11173,11332,-774.3265728199992
2018-01-16T17:30:00Z,11333,11448,11289,11376,-193.42620178999977
2018-01-16T17:45:00Z,11375,11375,11014,11031,-618.7583976299984
2018-01-16T18:00:00Z,11030,11215,10779,11074,-918.250034669991
2018-01-16T18:15:00Z,11077,11373,10851,11104,267.33525655999927
2018-01-16T18:30:00Z,11105,11235.96468777,10960,11129,-74.94053829000063
2018-01-16T18:45:00Z,11136,11349,10991,11233,-71.14682812999988
2018-01-16T19:00:00Z,11228,11600,11220,11519,302.1575265700001
2018-01-16T19:15:00Z,11537,11550,11354,11460,-67.17957239000062
2018-01-16T19:30:00Z,11460,11657,11405,11457,-154.62090222999996
2018-01-16T19:45:00Z,11457,11504,11252,11255,-391.6741499799991
2018-01-16T20:00:00Z,11255,11460,11153.67102807,11407,-91.31957488000018
2018-01-16T20:15:00Z,11391,11417,11252,11264,-164.32141395000014
2018-01-16T20:30:00Z,11264,11312,11000,11000,-308.5293758799998
2018-01-16T20:45:00Z,11000,11058,10717,10910,-466.1697217899974
2018-01-16T21:00:00Z,10910,11147,10821,10897,11.561453540000826
2018-01-16T21:15:00Z,10899.62064264,10899.62064264,10459,10460,-1527.7382137999996
2018-01-16T21:30:00Z,10460,10678,10260,10476,-336.7090967399975
2018-01-16T21:45:00Z,10476,10740,10310,10551,-27.855338170000948
2018-01-16T22:00:00Z,10552,10580,10200,10397,-571.5618975599965
2018-01-16T22:15:00Z,10397,10415,9940,10129.03225806,-1374.2395024399973
2018-01-16T22:30:00Z,10129,10698,9977,10580,292.3594764900013
2018-01-16T22:45:00Z,10618,11196,10607,11086,500.9028860200008
2018-01-16T23:00:00Z,11055,11060,10660,10710,-224.92479007999955
2018-01-16T23:15:00Z,10718,11300,10690,11233,56.22446803999964
