time,open,high,low,close,volume
2018-01-19T21:00:00Z,11345,11498.35493349,11255,11276,-142.8456366399996
2018-01-19T22:00:00Z,11279,11338,11152,11194,-39.8456205600002
2018-01-19T23:00:00Z,11195,11479,11134,11476,5.774273230000202
2018-01-20T00:00:00Z,11477,11580,11407,11515,-104.37669349999913
2018-01-20T01:00:00Z,11515,11684,11458,11640,-82.70594081999947
2018-01-20T02:00:00Z,11640,11690,11520,11658,-65.29549598000004
2018-01-20T03:00:00Z,11658,11805,11643.16710779,11701,171.7657522099983
2018-01-20T04:00:00Z,11700,12300,11534,12285,1929.7896217399923
2018-01-20T05:00:00Z,12283,12654,12244,12650,829.2051435799891
2018-01-20T06:00:00Z,12650,12746,12310,12435,-232.68000100999987
2018-01-20T07:00:00Z,12436,12621,12350,12603,256.85629860999995
2018-01-20T08:00:00Z,12603,12749,12440,12747,339.41044050000113
2018-01-20T09:00:00Z,12743,12747,12464,12515,-363.80574481000116
2018-01-20T10:00:00Z,12515,12595,12436,12594.11646714,-184.57330394999926
2018-01-20T11:00:00Z,12594,12595,12271,12300,-696.8183923599978
2018-01-20T12:00:00Z,12295,12505,12251,12476,14.89187164999997
2018-01-20T13:00:00Z,12476,12665.05545472,12422,12439,-196.12032501000013
2018-01-20T14:00:00Z,12438,12699,12430,12548,170.5566168099991
2018-01-20T15:00:00Z,12549,12631,12467,12515,-222.31926662999996
2018-01-20T16:00:00Z,12520,12870,12517,12800,865.5201475799948
2018-01-20T17:00:00Z,12800,12945,12655,12788,126.59740624999823
2018-01-20T18:00:00Z,12788,13017,12712,12955,139.48066974999847
2018-01-20T19:00:00Z,12950,12950,12680,12755,-101.95683187999943
2018-01-20T20:00:00Z,12748,12798,12583,12766,-114.52101134000013
2018-01-20T21:00:00Z,12766,12908,12701,12886,-5.428860089999875
2018-01-20T22:00:00Z,12886,12950,12769,12835,-109.93066285999994
2018-01-20T23:00:00Z,12834,12834,12670,12731,-305.1482287900002
2018-01-21T00:00:00Z,12731,12732,12315,12316,-1335.818015679992
2018-01-21T01:00:00Z,12315,12545,12307,12485,-206.59538761999997
2018-01-21T02:00:00Z,12485,12614,12400,12520,-347.0769977699983
2018-01-21T03:00:00Z,12524,12651,12450,12464,-233.23412816999945
2018-01-21T04:00:00Z,12461,12488,12220,12230,-1841.3795786599899
2018-01-21T05:00:00Z,12230,12283,12051,12108,-1110.2627418499846
2018-01-21T06:00:00Z,12107,12191,11873,11960,-829.795395099997
2018-01-21T07:00:00Z,11960,11968,11663,11922,-875.1874490699973
2018-01-21T08:00:00Z,11923,12034,11806,11847,-290.100106289999
2018-01-21T09:00:00Z,11852,11853,11621,11702,-253.03699032999876
2018-01-21T10:00:00Z,11708,11919,11700,11803,95.22788861000004
2018-01-21T11:00:00Z,11805,12119,11783.21045396,12119,328.4711654199986
2018-01-21T12:00:00Z,12119,12223,11950,11980,-273.5853771399997
2018-01-21T13:00:00Z,11980,12185,11950,12000.91976067,-48.845196329999894
2018-01-21T14:00:00Z,12000,12050,11673,11712,-255.88421369000014
2018-01-21T15:00:00Z,11711,11857,11411.39231217,11478,-1507.1030198500011
2018-01-21T16:00:00Z,11477,11478,11170,11275,-446.2768107999967
2018-01-21T17:00:00Z,11275,11450,11155,11386.07443212,-246.15964467999797
2018-01-21T18:00:00Z,11389,11485,11228,11453,-164.83881677999707
2018-01-21T19:00:00Z,11454,11593,11381,11442,-50.96183660999945
2018-01-21T20:00:00Z,11441,11459,11015,11067,-944.8513060599943
2018-01-21T21:00:00Z,11067,11327,11067,11309,-76.65675598999852
2018-01-21T22:00:00Z,11308,11437,11112,11170,-274.6613113200005
