timestamp,open,high,low,close,volume
2017-12-01 00:00:00,9907.0,10057.0,9770.0,9824.1,3946.54334318
2017-12-01 01:00:00,9823.0,9834.1,9610.0,9733.5,2961.0607813
2017-12-01 02:00:00,9740.7,9790.2,9520.0,9765.9,3021.32027025
2017-12-01 03:00:00,9762.6,9775.9,9582.0,9652.3,1604.15182852
2017-12-01 04:00:00,9656.0,9899.0,9605.9,9832.1,1905.273635
2017-12-01 05:00:00,9832.2,9836.8,9523.0,9568.3,2241.81380767
2017-12-01 06:00:00,9568.3,9660.0,9421.0,9421.0,2039.74327269
2017-12-01 07:00:00,9421.1,9578.0,9370.1,9530.1,2428.84651614
2017-12-01 08:00:00,9534.1,9838.1,9530.0,9784.9,3442.12720493
2017-12-01 09:00:00,9785.0,10061.0,9737.7,10018.0,4582.36875237
2017-12-01 10:00:00,10020.0,10062.0,9770.0,9775.8,2769.73585519
2017-12-01 11:00:00,9783.7,9980.0,9775.8,9966.4,2049.04343799
2017-12-01 12:00:00,9966.8,10299.0,9966.8,10147.0,7564.64358875
2017-12-01 13:00:00,10147.0,10722.0,10140.0,10657.0,9926.43475467
2017-12-01 14:00:00,10657.0,10760.0,10455.0,10601.0,7527.04498186
2017-12-01 15:00:00,10601.0,10639.0,10401.0,10526.0,3664.73369054
2017-12-01 16:00:00,10523.0,10716.0,10476.0,10623.0,3021.59871282
2017-12-01 17:00:00,10622.0,10623.0,10429.0,10451.0,2789.90002865
2017-12-01 18:00:00,10454.0,10590.0,10454.0,10482.0,1601.77134269
2017-12-01 19:00:00,10483.0,10630.0,10482.0,10530.0,2653.4587705
2017-12-01 20:00:00,10522.0,10878.0,10522.0,10788.0,4327.14143393
2017-12-01 21:00:00,10788.0,10950.0,10701.0,10869.0,4057.66016059
2017-12-01 22:00:00,10863.0,10940.0,10740.0,10807.0,2503.7546458
2017-12-01 23:00:00,10806.0,10908.0,10680.0,10860.0,2258.61652378
2017-12-02 00:00:00,10861.0,10980.0,10820.0,10891.0,1941.6566769
2017-12-02 01:00:00,10891.0,11161.0,10881.0,11073.0,4909.61256266
2017-12-02 02:00:00,11060.0,11088.0,10929.0,11036.0,2365.03987121
2017-12-02 03:00:00,11036.0,11049.0,10846.0,10888.0,1948.22915659
2017-12-02 04:00:00,10888.0,10931.0,10621.0,10823.0,4863.07056723
2017-12-02 05:00:00,10818.0,10909.0,10670.0,10903.0,1364.55787376
2017-12-02 06:00:00,10906.0,10981.0,10812.0,10832.0,1415.86310092
2017-12-02 07:00:00,10832.0,10983.0,10801.0,10935.0,1276.39660943
2017-12-02 08:00:00,10941.0,10983.0,10846.0,10965.0,2020.40831826
